date,Day,Month,Year,Column1,HomeTeam,AwayTeam,FTHG,FTAG,FTR,Referee,HS,AS,HST,HST %,AST,AST %,HC,AC,HF,AF,HY,AY,HR,AR,ScoreH,ScoreA,Count
19/08/2000,19,8,2000,0.634408602,Charlton,Man City,4,0,H,Rob Harris,17,8,14,0.823529412,4,0.5,6,6,13,12,1,2,0,0,3,0,1
19/08/2000,19,8,2000,0.634408602,Chelsea,West Ham,4,2,H,Graham Barber,17,12,10,0.588235294,5,0.416666667,7,7,19,14,1,2,0,0,3,0,2
19/08/2000,19,8,2000,0.634408602,Coventry,Middlesbrough,1,3,A,Barry Knight,6,16,3,0.5,9,0.5625,8,4,15,21,5,3,1,0,1,1,3
19/08/2000,19,8,2000,0.634408602,Derby,Southampton,2,2,D,Andy D'Urso,6,13,4,0.666666667,6,0.461538462,5,8,11,13,1,1,0,0,0,3,4
19/08/2000,19,8,2000,0.634408602,Leeds,Everton,2,0,H,Dermot Gallagher,17,12,8,0.470588235,6,0.5,6,4,21,20,1,3,0,0,3,0,5
19/08/2000,19,8,2000,0.634408602,Leicester,Aston Villa,0,0,D,Mike Riley,5,5,4,0.8,3,0.6,5,4,12,12,2,3,0,0,0,3,6
19/08/2000,19,8,2000,0.634408602,Liverpool,Bradford,1,0,H,Paul Durkin,16,3,10,0.625,2,0.666666667,6,1,8,8,1,1,0,0,3,0,7
19/08/2000,19,8,2000,0.634408602,Sunderland,Arsenal,1,0,H,Steve Dunn,8,14,2,0.25,7,0.5,2,9,10,21,3,1,0,1,3,0,8
19/08/2000,19,8,2000,0.634408602,Tottenham,Ipswich,3,1,H,Alan Wiley,20,15,6,0.3,5,0.333333333,3,4,14,13,0,0,0,0,3,0,9
20/08/2000,20,8,2000,0.637096774,Man United,Newcastle,2,0,H,Steve Lodge,19,9,9,0.473684211,6,0.666666667,7,1,7,13,0,1,0,0,3,0,10
21/08/2000,21,8,2000,0.639784946,Arsenal,Liverpool,2,0,H,Graham Poll,17,7,12,0.705882353,4,0.571428571,10,11,25,20,2,4,1,2,3,0,11
22/08/2000,22,8,2000,0.642473118,Bradford,Chelsea,2,0,H,Mark Halsey,12,14,3,0.25,6,0.428571429,6,4,14,16,0,1,0,0,3,0,12
22/08/2000,22,8,2000,0.642473118,Ipswich,Man United,1,1,D,Jeff Winter,13,15,8,0.615384615,6,0.4,4,6,10,7,1,4,0,0,0,3,13
22/08/2000,22,8,2000,0.642473118,Middlesbrough,Tottenham,1,1,D,Peter Jones,12,11,6,0.5,4,0.363636364,5,5,9,18,2,1,0,0,0,3,14
23/08/2000,23,8,2000,0.64516129,Everton,Charlton,3,0,H,Andy Hall,13,8,8,0.615384615,4,0.5,3,5,17,15,2,1,0,1,3,0,15
23/08/2000,23,8,2000,0.64516129,Man City,Sunderland,4,2,H,David Ellaray,15,9,10,0.666666667,4,0.444444444,7,3,24,14,3,3,0,0,3,0,16
23/08/2000,23,8,2000,0.64516129,Newcastle,Derby,3,2,H,Dermot Gallagher,9,10,4,0.444444444,5,0.5,9,6,23,11,0,3,1,0,3,0,17
23/08/2000,23,8,2000,0.64516129,Southampton,Coventry,1,2,A,F Taylor,12,7,4,0.333333333,5,0.714285714,6,5,18,20,5,3,0,0,1,1,18
23/08/2000,23,8,2000,0.64516129,West Ham,Leicester,0,1,A,Rob Styles,17,4,12,0.705882353,2,0.5,11,5,16,14,3,3,1,0,1,1,19
